,datetime,season,weather,temp,humidity,windspeed,casual,registered,rented_bikes_count,Profit,year,month,day,hour,day_period,month_year,month_numb
0,2011-01-01 00:00:00,Spring,Clear,10.0,81.0,13.0,3,13,16,107.3287671,2011,January,Saturday,0,monring,2011-01,01
1,2011-01-01 01:00:00,Spring,Clear,9.0,80.0,0.0,8,32,40,275.0287671,2011,January,Saturday,1,monring,2011-01,01
2,2011-01-01 02:00:00,Spring,Clear,9.0,62.0,0.0,5,27,32,201.9287671,2011,January,Saturday,2,monring,2011-01,01
3,2011-01-01 03:00:00,Spring,Clear,10.0,75.0,0.0,3,10,13,94.42876712,2011,January,Saturday,3,monring,2011-01,01
4,2011-01-01 04:00:00,Winter,Clear,20.0,75.0,13.0,0,1,1,4.128767123,2011,January,Saturday,4,monring,2011-01,01
5,2011-01-01 05:00:00,Winter,Mist,10.0,62.0,6.0,0,1,1,4.128767123,2011,January,Saturday,5,monring,2011-01,01
6,2011-01-01 06:00:00,Spring,Clear,20.0,62.0,0.0,2,0,2,34.22876712,2011,January,Saturday,6,monring,2011-01,01
7,2011-01-01 07:00:00,Spring,Clear,8.0,62.0,13.0,1,2,3,25.62876712,2011,January,Saturday,7,monring,2011-01,01
8,2011-01-01 08:00:00,Spring,Clear,10.0,62.0,0.0,1,7,8,47.12876712,2011,January,Saturday,8,monring,2011-01,01
9,2011-01-01 09:00:00,Spring,Clear,20.0,76.0,0.0,8,6,14,163.2287671,2011,January,Saturday,9,monring,2011-01,01
10,2011-01-01 10:00:00,Spring,Clear,16.0,76.0,13.0,12,24,36,309.4287671,2011,January,Saturday,10,monring,2011-01,01
11,2011-01-01 11:00:00,Spring,Clear,15.0,81.0,19.0,26,30,56,576.0287671,2011,January,Saturday,11,night,2011-01,01
12,2011-01-01 12:00:00,Spring,Clear,20.0,77.0,19.0,29,55,84,735.1287671,2011,January,Saturday,12,evening,2011-01,01
13,2011-01-01 13:00:00,Spring,Mist,19.0,62.0,13.0,47,47,94,1010.328767,2011,January,Saturday,13,evening,2011-01,01
14,2011-01-01 14:00:00,Spring,Mist,19.0,72.0,19.0,35,71,106,907.1287671,2011,January,Saturday,14,evening,2011-01,01
15,2011-01-01 15:00:00,Spring,Mist,18.0,77.0,20.0,40,70,110,988.8287671,2011,January,Saturday,15,evening,2011-01,01
16,2011-01-01 16:00:00,Spring,Mist,17.0,82.0,20.0,41,52,93,928.6287671,2011,January,Saturday,16,evening,2011-01,01
17,2011-01-01 17:00:00,Spring,Mist,18.0,82.0,19.0,15,52,67,481.4287671,2011,January,Saturday,17,night,2011-01,01
18,2011-01-01 18:00:00,Spring,Rainy,17.0,88.0,17.0,9,26,35,266.4287671,2011,January,Saturday,18,night,2011-01,01
19,2011-01-01 19:00:00,Spring,Rainy,17.0,62.0,17.0,6,31,37,236.3287671,2011,January,Saturday,19,night,2011-01,01
20,2011-01-01 20:00:00,Spring,Mist,16.0,62.0,17.0,11,25,36,296.5287671,2011,January,Saturday,20,night,2011-01,01
21,2011-01-01 21:00:00,Spring,Mist,20.0,87.0,13.0,3,31,34,184.7287671,2011,January,Saturday,21,night,2011-01,01
22,2011-01-01 22:00:00,Spring,Mist,16.0,62.0,13.0,11,17,28,262.1287671,2011,January,Saturday,22,night,2011-01,01
23,2011-01-01 23:00:00,Spring,Mist,20.0,62.0,13.0,15,24,39,361.0287671,2011,January,Saturday,23,night,2011-01,01
24,2011-01-02 00:00:00,Spring,Mist,19.0,88.0,20.0,4,13,17,124.5287671,2011,January,Sunday,0,monring,2011-01,01
25,2011-01-02 01:00:00,Spring,Mist,18.0,62.0,13.0,1,16,17,85.82876712,2011,January,Sunday,1,monring,2011-01,01
26,2011-01-02 02:00:00,Spring,Mist,17.0,100.0,19.0,1,8,9,51.42876712,2011,January,Sunday,2,monring,2011-01,01
27,2011-01-02 03:00:00,Spring,Mist,20.0,62.0,13.0,2,4,6,51.42876712,2011,January,Sunday,3,monring,2011-01,01
28,2011-01-02 04:00:00,Spring,Mist,19.0,62.0,13.0,2,1,3,38.52876712,2011,January,Sunday,4,monring,2011-01,01
